desc_translation,sentiment
"Entrepreneur, Founder of Dutch Cowboys & Red Banana, Digital Nomad. Blogger. Content Creator. Visual Storyteller. #dutchcowboys #travelvalley #carrepublic",Neutral
Board Member @ https://t.co/cdge9rzuro / developer @ https://t.co/0bGhaSX8OM / Here for bad puns and politics.,Negative
screenwriter | #Dertigers | Docu @VRTNWS | formerly @VTMFamilie | Kendrick impersonator | pineapple ambassador | queer Obama | i say everything is true,Positive
"Chairman Kovag,
pharmacist",Neutral
"Chairman Kovag,
pharmacist",Neutral
"Enjoying the Luxury Lifestyle. #Travel #Portugal #HFRresort #Luxury #LuxuryLifestyle #Luxe Support HFR Boutique Resort & Spa
Be a support or .....",Positive
Belga 🇪🇸 Verdaderamente preocupada por el futuro Mass nietos. #Sabinera. 🇧🇪 Extremely worried about the future of my grandchildren. #Sabina #Lanzarote,Negative
"The Great Awakening is underway. Come here for your daily red pill.

#WereldVrede
#QAnon
#TrustThePlan",Positive
"The Great Awakening is underway. Come here for your daily red pill.

#WereldVrede
#QAnon
#TrustThePlan",Positive
#tattooist #painter #illustrator #pencilier #designer,Neutral
Chano,Neutral
Chano,Neutral
| - Politics - Geek - Ginger | 👨❤️👨 '15,Neutral
"Mayor v Hanseatic town Harderwijk Hierden & 🇳🇱; City v eel and gingerbread. Pres. Far. Zuiderzeegem. M. m & @tjardalie father v 4, # 2CV, SB @Intermaris",Positive
News | Amsterdam l Opinion nieuwsdienst@parool.nl l l l @pshetparool Webcare: @Webcare_Parool | Hotline: https://t.co/WNYqz6mPzO,Neutral
News | Amsterdam l Opinion nieuwsdienst@parool.nl l l l @pshetparool Webcare: @Webcare_Parool | Hotline: https://t.co/WNYqz6mPzO,Neutral
"Non Conformist.
positivo
I ❤Music, Words, Movies, Series, Tech, Sports, Animals, People and Life.😊",Neutral
"European and Dutch GoaTrance, Party Base Calendar Calendar, free audio mixes and party video site",Negative
"Dutch popular marketing tech blog about technology, the internet, social media, interactive marketing, startups, cybercrime, gadgets and automotive.",Positive
"Entrepreneur worried about current policies on immigration, climate (costs) and purchasing power. Time for another course in the Netherlands.",Neutral
"a believer in momentum, creative torpedo 'helicopter flight' director, marketing communications. B2B + B2C. leisure arts music",Positive
"a believer in momentum, creative torpedo 'helicopter flight' director, marketing communications. B2B + B2C. leisure arts music",Positive
,Neutral
"Motor racing, motorcycling, Moto-GP, Yamaha my life brand, # 46 Valentino Rossi # 60 Michaelv / dMark, Judas Priest, PVV, FVD.",Neutral
"Motor racing, motorcycling, Moto-GP, Yamaha my life brand, # 46 Valentino Rossi # 60 Michaelv / dMark, Judas Priest, PVV, FVD.",Neutral
"Law Professor At iHub, hub on Security, Privacy, and Data Governance and Institute for Computing and Information Sciences, Radboud University, The Netherlands",Neutral
,Neutral
,Neutral
The only reason I am is thick Because a tiny body could not store all this personality. ❤️☘️🇿🇦🇿🇦,Negative
The only reason I am is thick Because a tiny body could not store all this personality. ❤️☘️🇿🇦🇿🇦,Negative
"Longtime UK expat in the Netherlands, having benefited from freedom of movement and I'm a committed Remainer 100% #Brexit is a retrograde step ..",Neutral
,Neutral
"Who am i? Atheist, anti-monarchist, social critic, Eurosceptic, Nationalist, Teacher in Fine Arts, Community Manager, Graphic Designer, ...",Positive
Art News Campaign language education opportunities talent,Neutral
"After the mission - Tweets about and for veterans, soldiers and their home.",Neutral
"MHC agogue, hiker, optimist🦄",Neutral
Save The Children,Neutral
"#RechtsVlaamsNationalist, #OnafhankelijkVlaanderen, #VlaanderenOnsLand, #TegenEUVoorEuropa, #VrijeMeningsuiting, #StopIslamisering, #WijZijnHetVolk",Neutral
"#RechtsVlaamsNationalist, #OnafhankelijkVlaanderen, #VlaanderenOnsLand, #TegenEUVoorEuropa, #VrijeMeningsuiting, #StopIslamisering, #WijZijnHetVolk",Neutral
The Left is the cancer of society,Neutral
Columnist @nrc & @vrij_nederland. Historian. Writer. Chairman. Foundation board member Brainwash.,Neutral
,Neutral
"Virologist, host-pathogen wonderer, 100% Indonesian traveler / scientist .. Bandung, Jakarta, Seoul, Seongnam, Hannover, Cologne, and now in the old Amsterdam ...",Positive
"2 Daughters, Rotterdam, Photography, MS, Tattoos, Feyenoord, Manchester United, IPhone 8 Plus.",Neutral
"2 Daughters, Rotterdam, Photography, MS, Tattoos, Feyenoord, Manchester United, IPhone 8 Plus.",Neutral
,Neutral
,Neutral
Smooth Back BV -hobbycolumnist - I know - I do not care - nobody's servant - hypocrietenvreter - dommemensenmoe - my timeline is not your bog - mijniebelle,Positive
Father Nova and Ryan / love @mhcmmulder / independent consultant SME / CFO LT Finishing / singer / guitarist #Omdatjejarigband / trainer-coach and player @FCLisse,Positive
LOOKING JOB Management Assistant | Office manager | secretary | ♥ architecture | garden | sports | healthy | vega | sustainable | 🐾OKH Starck + Audrey ♥ ️,Positive
"happy single.
We are getting f ** ked by government and religion and we do not get the fun of it😡 DM / PM = block
vote for the PVV:
Michiel_K@gab.com",Positive
,Neutral
,Neutral
"AG Connect is the platform for IT professionals. In AG Connect coming titles Automation Guide, IT Infrastructure and Information together. FB: https://t.co/jKwWLqdcQS",Neutral
"Political Advisor Word and Deed, Christian, husband of Esther, father of Noah, Jesse and Sara.",Neutral
Talk about Real Madrid and Liverpool Football Club • Cristiano Ronaldo • Iker Casillas Eden Hazard • • • RCB Virat Kohli • AB de Villiers • Rafael Nadal •,Positive
boerenverstand someone to give your food huh,Neutral
All children equal opportunities,Neutral
"White Collar, Matt Bomer, Alias ​​Smith and Jones, Pete Duel",Neutral
,Neutral
,Neutral
,Neutral
Political correctness is fascism disguised as good manners | Crime in Netherlands map https://t.co/05usXYrxFd...,Positive
"formula 1 and metal, nurse level 5 (amortized so)",Neutral
"formula 1 and metal, nurse level 5 (amortized so)",Neutral
,Neutral
,Neutral
"🇳🇱, will be Flemish citizen. On the ball. Continues until contact is nice. Respect human rights, no affectation. RT = not always agreement",Positive
"Is deeply concerned about the future of next generations. Still remains optimistic, as it can be. Has hated hypocrisy!",Negative
,Neutral
"boats, barges, barge, cutter, houseboat, houseboat, Nauerna, Zaanstad, barge, barge ,, clipper, water, zeeschouw, barge, longboat, cheap housing, special articles",Positive
"boats, barges, barge, cutter, houseboat, houseboat, Nauerna, Zaanstad, barge, barge ,, clipper, water, zeeschouw, barge, longboat, cheap housing, special articles",Positive
"zeneize in Amsterdam (pe foresti, zena = genoa;) love nizza, parigi, barcellona, ​​sampdoria, art, socialize, anything outdoor, in water or a team * insta: @ 1sapanda",Positive
"zeneize in Amsterdam (pe foresti, zena = genoa;) love nizza, parigi, barcellona, ​​sampdoria, art, socialize, anything outdoor, in water or a team * insta: @ 1sapanda",Positive
"ir TU / e, like t + small room, believe science is not in God, no EEC yes Euro 17 mio is enough, anti-nuclear, pro solar, power2gas, H2, antifascist, soc lib",Negative
"Prime Minister Flemish Government | Flemish Minister for Culture, External Affairs and Digitization | Prevented mayor Brasschaat",Neutral
"Prime Minister Flemish Government | Flemish Minister for Culture, External Affairs and Digitization | Prevented mayor Brasschaat",Neutral
President @nvaieper. Tweets reflect personal vision. Happily married with @marytonymar and father of Sheba and Magnus. #Ieper #nva,Positive
"Interested in people, cultures, science, history, politics, cooking ..",Positive
"Strong participation. Thinking differently, creating opportunities! Developer support professionals! Strong inspire and participate.",Positive
Against aircraft noise. Download the free app via https://t.co/Yiy0DLHWic. Mail relevant information to info@schipholwatch.nl. https://t.co/jbvAfxcnWt,Positive
"Follow us to keep abreast of the most important news.
News Report: SMS 3535 or email 3535@hln.be
Questions about your subscription: @Webcare_HLN",Positive
photographer,Neutral
I tweet latest stats or Covid-19 once a day for all the countries. I retweet tweets from verified accounts who has # COVID19 Mentioned,Positive
"3rd generation, one passport, not integrated, poor housewife, good (grand) mother, education, politics displaced, columns and opinion",Positive
"No nonsense, do not ask for a light load but a strong admirer rug.Vietnam, IJsselmeervogels supporter, FVD member.",Positive
West Flemish lawyer whose opinion is not shared by everyone.,Neutral
West Flemish lawyer whose opinion is not shared by everyone.,Neutral
I love loving !!,Positive
,Neutral
"Tobacco Control, Public Health Policy, University of Maastricht, Trimbos Institute",Neutral
"ince düşünceli duygusal pyskopat
.akrep 26-10
83 # Domuz
.boş gezenin / \ Boş kalfası.

.founder ♤ off:
#ikbennietfalsalsjedenkt
#dreamoffgurney
#artoffgurney",Neutral
,Neutral
"For an open, plural and free world with respect for human rights, freedom of speech and lawfullness. Against religious fascism, despotism and doompreachers✌️",Positive
"For an open, plural and free world with respect for human rights, freedom of speech and lawfullness. Against religious fascism, despotism and doompreachers✌️",Positive
,Neutral
,Neutral
§ A common man with common sense §,Negative
,Neutral
,Neutral
,Neutral
,Neutral
,Neutral
,Neutral
Finance - Horses - Dressage - Volkswagen - Louboutin - Animal Lover - BBC Detectives - Realist - Nonsense - (un) follow back - allergic to idiots,Negative
"| married | professional | gadgets | cohiba | music | rc model | 4d17-18 | crypto currency | food | tours | Daddy Mees, Giel, Huub and Jet | NL wine | 🇱🇺",Positive
"Group Chairman @ D66Utrecht working at @Stichtingmove, founder of @ Denkkracht030, secretary @PDKLezing and participant @blikverruimers",Neutral
Podcast Jauh di Rantau is now available on Spotify,Positive
,Neutral
An independent thinker and doer. World traveler and WF enthusiast.,Neutral
"Exposed, represent and ridiculed ideas and decisions in light of climate crisis, environmental crisis and loss of biodiversity.",Positive
"Exposed, represent and ridiculed ideas and decisions in light of climate crisis, environmental crisis and loss of biodiversity.",Positive
Vloggelaar | MarCom | government critically | unpopular opinions | Whistleblower Defense | monk in the city | heart li main re | social spiritualist,Positive
,Neutral
,Neutral
"#MAGA #KAG. President Trump one of a kind. My name is Robert. I'm on the train Trump, but please no Twitter trains. I live in The Netherlands, I'm Dutch.",Positive
,Neutral
,Neutral
"Networked connector. Founder @burgerplatform / Prgr @BID_NL. 21 years of communism, Romania Hungarian minority. @gemZoetermeer @THHZoetermeer @NieuwewegenNu",Neutral
"# EU correspondent #FD #Brussel | Former political reporter in The Hague | historian | Nederbelg nascent | Holds up book, film, theater, sports",Neutral
"Digitally Yours,
Love is in the air
#CordonSanitaire
https://t.co/zg60orLK2S
Think Global, Act Local
1EKosaxXLv1E1F7S3dqX5QqPur98Xn4Nqb",Positive
"Int'l development expert @KU_Leuven, Europe's ""most innovative university"" | (Re) tweet ≠ endorse. Historian, anthropologist. I sue racists.",Positive
"Int'l development expert @KU_Leuven, Europe's ""most innovative university"" | (Re) tweet ≠ endorse. Historian, anthropologist. I sue racists.",Positive
"Big fan of @Gulden #IStandWithGreece
Be a fan of Dutch traditions
Do not conniving politicians
Hate leftist media",Negative
"Big fan of @Gulden #IStandWithGreece
Be a fan of Dutch traditions
Do not conniving politicians
Hate leftist media",Negative
"Passion for technology, politics, jazz, cycling, chess, fun and most of all people Because They make the difference.",Positive
Public Health Epidemiologist | Experienced outbreak investigator | Director of Transmissible & Pandemos | Critical Reviewer | Will block rude and racism.,Positive
You give away NOT LOSE.,Neutral
You give away NOT LOSE.,Neutral
"father, husband, friend, counselor, researcher, administrator and coach.
motto; seeking inspiration gives energy and commitment.",Neutral
"A husband, pet lover and I love China and the Netherlands.

以 斗争 求 团结, 则 团结 者 存. 以 妥协 求 团结, 则 团结 者 亡.",Positive
Proud father of three kids.En enjoy our melkveehouderij.En write my way. #dyslexie #nexit #alllivesmatters I hate the #npo #msn family.,Positive
Proud father of three kids.En enjoy our melkveehouderij.En write my way. #dyslexie #nexit #alllivesmatters I hate the #npo #msn family.,Positive
"Proud father of Fleur and Merel and married to Brenda.
FC Twente, Darts, Making Music, Running, Biking, Fishing, WWII Films & Books, Geocaching.",Positive
"@JoshCullen_s' bb (q) 💙🍢

|| Hi Love💙

|| Proud to be A'Tin💙

|| fan account

|| bias wrecker ko si @stellajero_ 🍓 ||

|| Ihawan bunnies🐰092020 ||",Positive
"Divide and rule, the politician cries; unite and lead is watchword of the wise.
Johann Wolfgang von Goethe",Positive
"Divide and rule, the politician cries; unite and lead is watchword of the wise.
Johann Wolfgang von Goethe",Positive
,Neutral
,Neutral
,Neutral
,Neutral
"Is working on increasing wellbeing, civic and community strength. Together, we are building a caring society. Social works!",Positive
"#RechtsVlaamsNationalist, #OnafhankelijkVlaanderen, #VlaanderenOnsLand, #TegenEUVoorEuropa, #VrijeMeningsuiting, #StopIslamisering, #WijZijnHetVolk",Neutral
"#RechtsVlaamsNationalist, #OnafhankelijkVlaanderen, #VlaanderenOnsLand, #TegenEUVoorEuropa, #VrijeMeningsuiting, #StopIslamisering, #WijZijnHetVolk",Neutral
"Techno Bot reposts tweets with tag #techno
Join the movement!",Neutral
Dutch Patriot 🇳🇱 Trump fan 🇺🇸 first MAGA then MEGA 💪🏻 NEXIT # ̷̧̢̼̤͈̼̫̋̾Q̸̼͔͕̗͚̟̉̄̄͝a̷̞̗̺̐̔̚ṇ̶̨̢̦͚͚̜͇̯̉̓̑̉̏͋̕͝ö̴̡̟̥͔̟̞̯̠̳ṇ̵̫̭͔̈̓͆̄̈̋̈̓͘͠,Positive
Dutch Patriot 🇳🇱 Trump fan 🇺🇸 first MAGA then MEGA 💪🏻 NEXIT # ̷̧̢̼̤͈̼̫̋̾Q̸̼͔͕̗͚̟̉̄̄͝a̷̞̗̺̐̔̚ṇ̶̨̢̦͚͚̜͇̯̉̓̑̉̏͋̕͝ö̴̡̟̥͔̟̞̯̠̳ṇ̵̫̭͔̈̓͆̄̈̋̈̓͘͠,Positive
"Catlady, for an inclusive society, left-wing, do what you want but do not hurt others, blessed be!",Neutral
"Catlady, for an inclusive society, left-wing, do what you want but do not hurt others, blessed be!",Neutral
"When I do not know things, I do not think that i do either. Unknown Unknowns specialist; Those interested in I do not know I do not know!",Positive
Tweets of the sports editor of The Telegraph. https://t.co/SRL9y1ujWF,Neutral
Tweets of the sports editor of The Telegraph. https://t.co/SRL9y1ujWF,Neutral
Telesport Football is the official twitter account of the sports editor of The Telegraph.,Neutral
Telesport Football is the official twitter account of the sports editor of The Telegraph.,Neutral
"Souwie on ... blogging for the Renaissance wo / men of the 21st century. I focus political, economic and environmental issues.",Positive
Creative in words and pictures. My picture on your wall? https://t.co/4nkYrQymSt,Positive
Creative in words and pictures. My picture on your wall? https://t.co/4nkYrQymSt,Positive
,Neutral
RKC Waalwijk I Officially I Information I News I Wallpaper I Football I Eredivisie I Behind The Scenes I #WeZullenAltijdBlijvenZingen,Negative
Experienced professional and authentic. Specializing in Business Model Innovation and Business Valuation. Focus on M & A and real estate. Driven and hands-on.,Positive
"I am a technology enthusiast who builds happy, encrypts and solves problems. Get the latest updates in Information Technology.",Positive
Organic product of a renegade Muslim / pig farmer and a Catholic woman. Learned a lot from them.,Neutral
Organic product of a renegade Muslim / pig farmer and a Catholic woman. Learned a lot from them.,Neutral
"Exposed, represent and ridiculed ideas and decisions in light of climate crisis, environmental crisis and loss of biodiversity.",Positive
"Exposed, represent and ridiculed ideas and decisions in light of climate crisis, environmental crisis and loss of biodiversity.",Positive
"""Whatever we are, whatever we make of ourselves, is all we will ever have, and that, in its profound simplicity, is the meaning of life."" Council member N-VA",Positive
Install the corona app now! https://t.co/25OIX1At2m Impact investment with @Incofin @incofin_cvso,Neutral
"Paramedic
Writer, poet, blogger.
skywatcher and naturelover.",Neutral
"Paramedic
Writer, poet, blogger.
skywatcher and naturelover.",Neutral
"Writer, Reizer, historian, journalist. Does bizarre good dog after. Shines bright like Chernobyl- country's beloved Belarus -ofiel @kortschrijvers #tegendebakker",Positive
,Neutral
,Neutral
"Senior Financial Economist at @KBC_Group, Devoted Father, Sportsman, language lover, Info Pons Looking at all the Beautiful and Strange in Humanity",Positive
"Reporter. Formerly with @NorDelReporter, @CloverdaleNews, and @ News1130. Hit me up on sasha.lakic@gmail.com",Neutral
"Reporter. Formerly with @NorDelReporter, @CloverdaleNews, and @ News1130. Hit me up on sasha.lakic@gmail.com",Neutral
"Architecture, Arts, Cultural Heritage and History RES_Ned https://t.co/IEyO1IDdPe
Buffers / zone https://t.co/U9WQkDyqyJ
RES_West_Ov https://t.co/D7TH4Bvwxl",Positive
I / O error!,Neutral
science communication ITP Delta - background in theoretical physics - @vpro former science journalist - freestyle swim addict - 🐾🐾 - Μαθαίνω Ελληνικά,Neutral
Gepens. politiecommissaris.Hou v traveling only within EU! Enough people know about liars and hypocrites to herkennen.Lid N-VA TURNHOUT! Send in own name,Positive
"doarproatlub is a website with writings about what MC Kramer in Urk zoal locally, nationally and internationally keep busy.",Positive
"doarproatlub is a website with writings about what MC Kramer in Urk zoal locally, nationally and internationally keep busy.",Positive
,Neutral
,Neutral
"Math lover, dogs freak.",Neutral
Love objective news and discussie.Wees yourself and do not get carried away by the illusion of dag.Globetrotter can good perspective.,Positive
Love objective news and discussie.Wees yourself and do not get carried away by the illusion of dag.Globetrotter can good perspective.,Positive
"@PvdA / Member of Parliament / Groninger / economist / finance spokesman, housing, gas",Neutral
"@PvdA / Member of Parliament / Groninger / economist / finance spokesman, housing, gas",Neutral
"Mother v 2 teenagers, uHBs, HSPs, complex learning, autodidact, PTSD, sociocratic education.

Paladin to education and truants.
 *On personal title*",Negative
"Souwie on ... blogging for the Renaissance wo / men of the 21st century. I focus political, economic and environmental issues.",Positive
"We put the most relevant tweets with tips, buying advice and analysis from leading market analysts and traders to get you through. Max. 10/15 tweets per day.",Positive
"We put the most relevant tweets with tips, buying advice and analysis from leading market analysts and traders to get you through. Max. 10/15 tweets per day.",Positive
"Retirement, after years of graduate education at Helicon. Nature, garden, birds, sun and sea walk, beach volleyball supporter, music and drawing",Neutral
"Section Head of Health Economics Free University. At the interface between public health, health and economy. Combines economics and epidemiology.",Positive
"Section Head of Health Economics Free University. At the interface between public health, health and economy. Combines economics and epidemiology.",Positive
"artist / educator / researcher. Working on critical pedagogies, social justice, post digital photography, inflatables, storytelling, activism and arts education.",Positive
"artist / educator / researcher. Working on critical pedagogies, social justice, post digital photography, inflatables, storytelling, activism and arts education.",Positive
"City of Flora, OFG, #zeldzameplantenUtrecht, skating, cricket, JD / NO / Fac, martial to post punk, 1800-1950, 030/0344, https://t.co/ok5uKnRux4, FLORON, UN and unruly",Neutral
"City of Flora, OFG, #zeldzameplantenUtrecht, skating, cricket, JD / NO / Fac, martial to post punk, 1800-1950, 030/0344, https://t.co/ok5uKnRux4, FLORON, UN and unruly",Neutral
"Friend, mother of three, marcom professional flamenco / hip-hop / jazz dancer. Antifa.
I new sth That M Boone did not know yet.
Easilyamused, Hardly impressed.",Positive
,Neutral
I tweet latest stats or Covid-19 once a day for all the countries. I retweet tweets from verified accounts who has # COVID19 Mentioned,Positive
"Health editor NOS News. Author book on antibiotic resistance (2013 German version 2015, English 2020). 4 books on extreme right in https://t.co/QEtvkqPhZ1",Positive
"Health editor NOS News. Author book on antibiotic resistance (2013 German version 2015, English 2020). 4 books on extreme right in https://t.co/QEtvkqPhZ1",Positive
TikTok Audit Defense Strategist,Neutral
"The Cooperative Light Makers, by cooperating shaping our new world.",Positive
"The Cooperative Light Makers, by cooperating shaping our new world.",Positive
"Medical Doctor, Scientist (Prions), Retired, Poet, Israel, Musician, Intelligent, Tolerant, funny, Anti-Dogmas, Atheist, Freemason. DM Means unfollow.",Positive
"Mathematician, IT guy, musician and justice supporter! Right now: Corona advocating containment strategy in the Netherlands to stop the 2nd wave!",Positive
Entrepreneur; Smart e-government and e-citizen services; Tech - Digital - Data; Africa - Middle East - Belgium,Positive
• Brabander married 👬🏼 • financial services • Apple • Spotify • employ • @mobyenjamie also lives offline • 🏳️🌈,Positive
,Neutral
,Neutral
Only #politiek can turn me into ijskonijn #. # Frys,Neutral
"The entrance to my world of being a science, data and healthcare addict. Software consultant.",Neutral
,Neutral
I am that ben.Fier in Flanders.,Neutral
"Presents ""The Incredible Podcast for @ NPORadio1 (see link👇), journalist @EOnl, music producer. Man @DamarisBoogerd. Email: david.boogerd@eo.nl",Positive
We believe that it is always smarter more sustainable. #Duurzaamheid #SDGs # 17doelendiejedeelt #CirculaireEconomie #Oplossingen,Positive
music | french horn | wanting to see the world in all its beauty | my love @rutgerstoel | running |,Positive
music | french horn | wanting to see the world in all its beauty | my love @rutgerstoel | running |,Positive
,Neutral
,Neutral
Dutch Patriot 🇳🇱 Trump fan 🇺🇸 first MAGA then MEGA 💪🏻 NEXIT # ̷̧̢̼̤͈̼̫̋̾Q̸̼͔͕̗͚̟̉̄̄͝a̷̞̗̺̐̔̚ṇ̶̨̢̦͚͚̜͇̯̉̓̑̉̏͋̕͝ö̴̡̟̥͔̟̞̯̠̳ṇ̵̫̭͔̈̓͆̄̈̋̈̓͘͠,Positive
Dutch Patriot 🇳🇱 Trump fan 🇺🇸 first MAGA then MEGA 💪🏻 NEXIT # ̷̧̢̼̤͈̼̫̋̾Q̸̼͔͕̗͚̟̉̄̄͝a̷̞̗̺̐̔̚ṇ̶̨̢̦͚͚̜͇̯̉̓̑̉̏͋̕͝ö̴̡̟̥͔̟̞̯̠̳ṇ̵̫̭͔̈̓͆̄̈̋̈̓͘͠,Positive
"L; ove! L😜ve https://t.co/kfgPYLM1KA https://t.co/cnROdBl8xH
https://t.co/NnATXm5TSn get your mask for twitter picture
https://t.co/cMoQrlMaSO",Neutral
"Anti Islam Pro Israel Member FVD and ON Nexit, F1🏁 Add to a list block.",Neutral
"Anti Islam Pro Israel Member FVD and ON Nexit, F1🏁 Add to a list block.",Neutral
Twitter is deprecated,Neutral
"Makes things work in .NET / Win32 / x64 / C # / SQL / Delphi.
Surviving rectal cancer.
Married a cancer survivor.
Responsible for brother with IQ ᐸ 50.
@AdestMusica member.",Positive
"Speech therapist, masterSEN (learning / reading), working as a specialist practitioner read / support teacher teaching at PPO Rotterdam.",Neutral
,Neutral
,Neutral
"Proud grandmother of five, wife of Remi (18 years), OppasOma, Skating looking Championships / World Cup, legpuzzelen, volunteer children.
@ @ JopieThuismus gab.com",Positive
"Physician, radiologist in training, researcher in the area of ​​capacity management in hospitals @maastrichtUMC",Neutral
"Senator 🏛. Opposition leader Barendrecht. Entrepreneur. Passionate, direct, honest, critical and realistic. Soccer (read: state in the field)",Positive
"I believethat things can change. I believe we can all do the thingsthat are right, Because we all have to face the thingsthat are right, Or what's easy.",Positive
,Neutral
,Neutral
"Married, proud father, son Kempen, new Antwerp, Flemish, European, American touch, Engineer, nature lover, rugby fan",Positive
Van Helvoirt by and Spikes,Neutral
Van Helvoirt by and Spikes,Neutral
